"pkg_name","dataset_name","title","description","n_rows","n_vars","n_vars_dictionary","csv_url","xlsx_url"
"artesianwells","artesianwells","artesianwells: Artesian Well Site Assessment Data","A dataset capturing geospatial, structural, usage, and management characteristics of artesian well sites",44,29,29,"https://raw.githubusercontent.com/openwashdata/artesianwells/main/inst/extdata/artesianwells.csv","https://raw.githubusercontent.com/openwashdata/artesianwells/main/inst/extdata/artesianwells.xlsx"
"biogasoutcomesmalawi","biogasoutcomesmalawi","Qualitative interviews about the outcomes of biogas reactors in Malawi","This dataset consists of 61 semi-structured interviews with biogas owners in the Southern Region of Malawi. Interviews were conducted over multiple visits to sites over the course of a two-year period between June 2021 and October 2022.",259,5,5,"https://raw.githubusercontent.com/openwashdata/biogasoutcomesmalawi/main/inst/extdata/biogasoutcomesmalawi.csv","https://raw.githubusercontent.com/openwashdata/biogasoutcomesmalawi/main/inst/extdata/biogasoutcomesmalawi.xlsx"
"boreholeforensicspumpingtest","boreholeforensicspumpingtest","boreholeforensicspumpingtest: Borehole Forensics 4 - Pumping Test","This dataset contains borehole forensic pumping test data, capturing key parameters related to groundwater extraction, borehole performance, and water quality assessments. It includes information on the test conditions, water levels, pumping rates, flow measurement methods, and water quality indicators such as pH, turbidity, and electrical conductivity. The dataset also documents permissions granted for testing, equipment used, and observations on borehole performance, such as whether the water level stabilized during pumping and whether the borehole passed the test.",445,38,44,"https://raw.githubusercontent.com/openwashdata/boreholeforensicspumpingtest/main/inst/extdata/boreholeforensicspumpingtest.csv","https://raw.githubusercontent.com/openwashdata/boreholeforensicspumpingtest/main/inst/extdata/boreholeforensicspumpingtest.xlsx"
"boreholefuncmwi","boreholefuncmwi","boreholefuncmwi: Analysis of boreholes' functionality in Northern Malawi","The data is obtained from a survey conducted in Wasambo in Karonga district (Northen Malawi). This data is about boreholes and handpumps that people mostly rely on for drinking water, secondary to wells and rivers. The data were collected in June 2013.",108,17,17,"https://raw.githubusercontent.com/openwashdata/boreholefuncmwi/main/inst/extdata/boreholefuncmwi.csv","https://raw.githubusercontent.com/openwashdata/boreholefuncmwi/main/inst/extdata/boreholefuncmwi.xlsx"
"breathablepitlat","breathablepitlat",,,6,8,8,"https://raw.githubusercontent.com/openwashdata/breathablepitlat/main/inst/extdata/breathablepitlat.csv","https://raw.githubusercontent.com/openwashdata/breathablepitlat/main/inst/extdata/breathablepitlat.xlsx"
"cbssuitabilityhaiti","mwater","Location of different water points in Cap Haitien, Haiti","This data includes water point data from the mWater platform. Water points are for the city Cap Haitien, Haiti in 2022. The data collection and characterization was done between 2016 and 2022.",1849,7,7,"https://raw.githubusercontent.com/openwashdata/cbssuitabilityhaiti/main/inst/extdata/mwater.csv","https://raw.githubusercontent.com/openwashdata/cbssuitabilityhaiti/main/inst/extdata/mwater.xlsx"
"cbssuitabilityhaiti","okap","Sanitation zoning assessment data","This data includes data from a sanitation zoning report done for the city of Cap Haitien, Haiti in 2022. Additionally, it contains spatial data about the neighborhoods of 5 different Haitien cities.",198,21,13,"https://raw.githubusercontent.com/openwashdata/cbssuitabilityhaiti/main/inst/extdata/okap.csv","https://raw.githubusercontent.com/openwashdata/cbssuitabilityhaiti/main/inst/extdata/okap.xlsx"
"choleramalawi","choleramalawi","Title: Cholera Epidemic in Malawi","Description: Course of the cholera epidemic in Malawi. The data is resolved at a weekly level and contains information on the number of cases and deaths recorded in each district.",1886,8,8,"https://raw.githubusercontent.com/openwashdata/choleramalawi/main/inst/extdata/choleramalawi.csv","https://raw.githubusercontent.com/openwashdata/choleramalawi/main/inst/extdata/choleramalawi.xlsx"
"ds4owdanalytics","course_participation","course_participation: Participation in the Course","Sessions attended and participated in, for the course (anonymized)",734,5,5,"https://raw.githubusercontent.com/openwashdata/ds4owdanalytics/main/inst/extdata/course_participation.csv","https://raw.githubusercontent.com/openwashdata/ds4owdanalytics/main/inst/extdata/course_participation.xlsx"
"ds4owdanalytics","ds4owd_browser","ds4owd_browser: Data on visits to the DS4OWD website by browser","This dataset contains information on visits to the DS4OWD website by browser used.",17,6,6,"https://raw.githubusercontent.com/openwashdata/ds4owdanalytics/main/inst/extdata/ds4owd_browser.csv","https://raw.githubusercontent.com/openwashdata/ds4owdanalytics/main/inst/extdata/ds4owd_browser.xlsx"
