"pkg_name","title","description","version","tier","legacy","maintainer","maintainer_orcid","authors","license","date","doi","cff_version","url_github","url_docs","n_datasets","latest_release","default_branch","created_at","last_commit","topics","has_dictionary","has_extdata"
"artesianwells","Artesian Well Site Assessment Data","A dataset capturing geospatial, structural, usage, and management characteristics of artesian well sites.","0.1.0","catalogued",TRUE,"Emmanuel Mhango","0000-0003-3197-6244","Emmanuel Mhango","CC BY 4.0",2025-06-02,"10.5281/zenodo.15824828","0.1.0","https://github.com/openwashdata/artesianwells","https://openwashdata.github.io/artesianwells/",1,,"main",,2025-07-06,,TRUE,TRUE
"basisghana","Basic Sanitation Information System - BaSIS","This package compiles sanitation data from established Open Defecation Free (ODF) communities across different regions in Ghana.","0.0.0.9000","dev",FALSE,"Lars  Sch<U+00F6>bitz","0000-0003-2196-5015","Lars  Sch<U+00F6>bitz; Sophia Skorik","CC BY 4.0",2023-12-04,,"0.0.0.9000","https://github.com/openwashdata/basisghana","https://openwashdata.github.io/basisghana/",2,,"main",,2024-01-15,,TRUE,TRUE
"biogasoutcomesmalawi","Data for 61 semi-structured interviews with biogas owners in Malawi","This dataset consists of 61 semi-structured interviews with biogas owners in the Southern Region of Malawi. Interviews were conducted over multiple visits to sites over the course of a two-year period between June 2021 and October 2022.","0.0.1","catalogued",TRUE,"Lars Sch<U+00F6>bitz","0000-0003-2196-5015","Lars Sch<U+00F6>bitz; Sebastian Camilo Loos; Marc Kalina; Jonathan Olal Ogwang; Jonathan Kwangulero; Elizabeth Tilley","CC BY 4.0",2023-08-23,"10.5281/zenodo.6470427","0.0.1","https://github.com/openwashdata/biogasoutcomesmalawi","https://openwashdata.github.io/biogasoutcomesmalawi/",1,,"main",,2023-09-05,,TRUE,TRUE
"boreholeforensicspumpingtest","Borehole Forensics 4 - Pumping Test Data 2018-2024","This dataset contains borehole forensic pumping test data, capturing key parameters related to groundwater extraction, borehole performance, and water quality assessments. It includes information on the test conditions, water levels, pumping rates, flow measurement methods, and water quality indicators such as pH, turbidity, and electrical conductivity. The dataset also documents permissions granted for testing, equipment used, and observations on borehole performance.","0.1.0","catalogued",TRUE,"Emmanuel Mhango","0000-0003-3197-6244","Emmanuel Mhango; Finlay Paterson; Paul Kumpukwe","CC BY 4.0",2025-03-05,"10.5281/zenodo.15800110","0.1.0","https://github.com/openwashdata/boreholeforensicspumpingtest","https://openwashdata.github.io/boreholeforensicspumpingtest/",1,,"main",,2025-07-03,,TRUE,TRUE
"boreholefuncmwi","Analysis of boreholes' functionality in Northern Malawi","The data is obtained from a survey conducted in Wasambo in Karonga district (Northen Malawi). This data is about boreholes and handpumps that people mostly rely on for drinking water, secondary to wells and rivers. The data were collected in June 2023.","0.0.1","catalogued",TRUE,"Mabvuto Yesaya","0000-0003-3234-9699","Mabvuto Yesaya; Juliette Preisig; Hastings Kayira; Mian Zhong","CC BY 4.0",2024-06-27,"10.5281/zenodo.12635354","0.0.1","https://github.com/openwashdata/boreholefuncmwi","https://openwashdata.github.io/boreholefuncmwi/",1,,"main",,2024-07-03,,TRUE,TRUE
"boreholelabdata","Water Quality Laboratory Analysis and Reporting Dataset <U+2013> Malawi (2017<U+2013>2019)","This dataset contains comprehensive records of water quality test results collected from various water points across Malawi between 2017 and 2019","0.0.0.9000","dev",FALSE,"Emmanuel Mhango","0000-0003-3197-6244","Emmanuel Mhango; Finlay Paterson; Jamie Rattray","CC BY 4.0",2025-08-06,,,"https://github.com/openwashdata/boreholelabdata","https://openwashdata.github.io/boreholelabdata/",1,,"master",,2025-12-15,,TRUE,TRUE
"breathablepitlat","Dataset about experiments of field application of breathable laminate-lined pit latrines","This dataset assists with a research study aims at capturing the pathogens and contaminants from pit latrines by lining them with a hydrophobic laminate. The data are collected to demonstrate the transport of contaminants from two pour flush, twin-pit latrines in which one pit is lined and one is unlined.","0.0.0.9000","catalogued",TRUE,"Mian Zhong","0009-0009-4546-7214","Mian Zhong; Shray Saxena","CC BY 4.0",2024-06-21,"10.5281/zenodo.13960699","0.0.0.9000","https://github.com/openwashdata/breathablepitlat","https://openwashdata.github.io/breathablepitlat/",1,,"main",,2024-10-23,,TRUE,TRUE
"cbssuitabilityhaiti","Data for a sanitation zoning assessment done for Cap Haitien, Haiti","This package contains data for a sanitation zoning assessment done for the city of Cap Haitien, Haiti. It combines two datasets used for an analysis of the suitability of container-based sanitation (CBS).","0.0.1","catalogued",TRUE,"Sebastian Camilo Loos","0000-0003-2196-5015","Sebastian Camilo Loos; Sasha Kramer; Maya Lubeck-Schricker","CC BY 4.0",,"10.5281/zenodo.8361085","0.0.1","https://github.com/openwashdata/cbssuitabilityhaiti","https://openwashdata.github.io/cbssuitabilityhaiti/",2,,"main",,2023-10-03,,TRUE,TRUE
"chckapmalawi","Knowledge, Attitudes and Practices (KAP) Survey about Community Health Centers (CHC) in Malawi","This dataset captures insights from a Knowledge, Attitudes, and Practices (KAP) Survey conducted by BASEflow for Waste Advisers in Malawi, focusing on Community Health Centers (CHCs). It covers diverse aspects including household demographics, CHC membership, water sources, sanitation, nutrition knowledge, hygiene practices, and environmental conditions.","0.0.0.9000","dev",FALSE,"Sophia Skorik","0009-0001-4755-1649","Sophia Skorik; Lars Sch<U+00F6>bitz; Rhodrick Sagawa; Paul Kumpukwe; Veronica Chinangwa; Baleke Banda; Rodney Kananji; Feston Bwanyula; Gloria Maliana; Given Ngwira","CC BY 4.0",2023-10-25,,"0.0.0.9000","https://github.com/openwashdata/chckapmalawi","https://openwashdata.github.io/chckapmalawi/",1,,"main",,2024-01-15,,TRUE,TRUE
"choleramalawi","Tracks the progress of Cholera epidemic in Malawi (2022-23)","A dataset that tracks the progress of the cholera epidemic in each district of Malawi in 2022-23.","0.1.0","catalogued",TRUE,"Yash Dubey",,"Yash Dubey","CC BY 4.0",,"10.5281/zenodo.13920530","0.1.0","https://github.com/openwashdata/choleramalawi","https://openwashdata.github.io/choleramalawi/",1,,"main",,2024-10-16,,TRUE,TRUE
"cleanteamghana","Clean Team Ghana","This package compiles user experience data for the Clean Team Ghana container-based sanitation service in Kumasi, Ghana.","0.0.0.9000","dev",FALSE,"Sophia Skorik","0009-0001-4755-1649","Sophia Skorik; James Benjamin Tidwell; Kwabena Biritwum Nyarko; Ian Ross; Bismark Dwumfour-Asare; Scott Pippa","CC BY 4.0",2023-10-25,,"0.0.0.9000","https://github.com/openwashdata/cleanteamghana","https://openwashdata.github.io/cleanteamghana/",1,,"main",,2024-01-15,,TRUE,TRUE
"climatevulnerabilitykhm","Climate Vulnerability Data in Rural Cambodia","Data on Effects of Climate Vulnerability on Sanitation Access, Sanitation Infrastructure Functionality and Households<U+2019> Fecal Sludge Management Practices in Rural Cambodia.","0.0.0.9000","dev",FALSE,"Mian Zhong","0009-0009-4546-7214","Mian Zhong; James Harper","CC BY 4.0",,,"0.0.0.9000","https://github.com/openwashdata/climatevulnerabilitykhm","https://openwashdata.github.io/climatevulnerabilitykhm/",1,,"main",,2023-07-05,,TRUE,FALSE
"dowalatrinesurvey","Household Latrine Survey Data from Dowa and Thyolo, Malawi","Contains survey data collected in October 2020 from households in Dowa and Thyolo Districts, Malawi. The dataset includes detailed information on household sanitation practices, latrine infrastructure, usage patterns, maintenance behaviors, and user preferences across rural and peri-urban communities. Data was collected using the mWater survey platform by BASEflow Malawi enumerators.","0.0.0.9000","dev",FALSE,"Emmanuel Mhango","0000-0003-3197-6244","Emmanuel Mhango","CC BY 4.0",2025-07-16,,"0.0.0.9000","https://github.com/openwashdata/dowalatrinesurvey","https://openwashdata.github.io/dowalatrinesurvey/",1,,"master",,2025-12-15,,TRUE,TRUE
"dowaodfsurvey","ODF Sanitation and Hygiene Household Survey <U+2013> Ntchisi & Dowa District 2019","This dataset contains results from a household-level WASH (Water, Sanitation, and Hygiene) survey conducted on July 1st, 2019 in Mduku GVH, Dowa District, within the catchment area of Mbingwa Health Centre, Malawi. The purpose of the survey was to assess sanitation infrastructure, hygiene practices, and menstrual hygiene management (MHM) as part of an Open Defecation Free (ODF) verification exercise.","0.0.0.9000","dev",FALSE,"Emmanuel Mhango","0000-0003-3197-6244","Emmanuel Mhango","CC BY 4.0",2025-08-07,,,"https://github.com/openwashdata/dowaodfsurvey","https://openwashdata.github.io/dowaodfsurvey/",1,,"master",,2025-11-03,,TRUE,TRUE
"drillingdata","Borehole Drilling and Construction Data <U+2013> Malawi, 2018 - 2024","This dataset captures detailed information on borehole drilling and construction activities conducted across selected sites in Malawi in 2018. Data were collected using the mWater digital platform, documenting each stage of groundwater development, from site selection and hydrogeological studies to drilling operations, borehole design, and post-construction assessments.","0.0.0.9000","dev",FALSE,"Emmanuel Mhango","0000-0003-3197-6244","Emmanuel Mhango; Jamie Rattray; Shaun MacLeod; Feston Bwanyula","CC BY 4.0",2025-11-06,,,"https://github.com/openwashdata/drillingdata","https://openwashdata.github.io/drillingdata/",1,,"master",,2025-11-06,,TRUE,TRUE
"dryingfaecal","What the Package Does (One Line, Title Case)","What the package does (one paragraph).","0.0.0.9000","dev",FALSE,"Mian Zhong","0009-0009-4546-7214","Mian Zhong","CC BY 4.0",,,"0.0.0.9000","https://github.com/openwashdata/dryingfaecal","https://openwashdata.github.io/dryingfaecal/",2,,"main",,2024-08-12,,TRUE,FALSE
"ds4owdanalytics","DS4OWD Analytics","Data collected from the Data Science for Open WASH Data (DS4OWD) course and the associated website and data publishing endeavour.","0.1.0","catalogued",TRUE,"Yash Dubey","0009-0001-2849-970X","Yash Dubey","CC BY 4.0",2025-01-31,"10.5281/zenodo.14778963","0.1.0","https://github.com/openwashdata/ds4owdanalytics","https://openwashdata.github.io/ds4owdanalytics/",9,,"main",,2025-01-31,,TRUE,TRUE
"floodchlorinationsurvey","USAID Flood Response Rehabilitation and Chlorination Survey","This R package provides tools for analyzing and visualizing data from the USAID Flood Response Rehabilitation and Chlorination Survey conducted in Mulanje, Malawi (2019<U+2013>2020). It includes functions to assess handpump component replacements, evaluate changes in functionality before and after rehabilitation, and identify common repair trends using mWater-collected data.","0.1.0","catalogued",TRUE,"Emmanuel Mhango","0000-0003-3197-6244","Emmanuel Mhango","CC BY 4.0",2025-07-01,"10.5281/zenodo.15846578","0.1.0","https://github.com/openwashdata/floodchlorinationsurvey","https://openwashdata.github.io/floodchlorinationsurvey/",1,,"master",,2025-07-09,,TRUE,TRUE
